name,url,sido,cl_name,staff_urls,ignore_robots
부산대학교병원,https://www.pnuh.or.kr/pnuh/index.do,부산,,https://www.pnuh.or.kr/pnuh/medical/department.do,1
동아대학교병원,https://www.damc.or.kr,부산,,https://www.damc.or.kr/02/02_2017.php,
인제대학교 부산백병원,https://www.paik.ac.kr/busan/,부산,,,
인제대학교 해운대백병원,https://www.paik.ac.kr/haeundae/,부산,,,
고신대학교복음병원,https://www.kosinmed.or.kr,부산,,https://www.kosinmed.or.kr/depart/depart_1.php,
부산성모병원,https://www.bsm.or.kr,부산,,https://www.bsm.or.kr/01_treatment/0201_guide16.asp?cate=order16,
동의의료원,https://www.demc.kr,부산,,https://www.demc.kr/03_clinic/?mcode=0403020000,
부산의료원,https://www.busanmc.or.kr/busanmc/,부산,,https://www.busanmc.or.kr/busanmc/index.php?pCode=clinicstaff,
온종합병원,https://onhospital.org,부산,,https://onhospital.org/page_fosS33,
부민병원,https://www.bumin.co.kr,부산,,,
대동병원,https://www.ddh.co.kr,부산,,,
경북대학교병원,https://www.knuh.kr,대구,,https://www.knuh.kr/content/01treatment/08_01.asp,
칠곡경북대학교병원,https://www.knuch.kr,대구,,https://www.knuch.kr/content/02depart/01_01.asp,
계명대학교동산병원,https://dongsan.dsmc.or.kr:49870/,대구,,https://dongsan.dsmc.or.kr:49870/content/02depart/01_01.php,
영남대학교병원,https://www.yumc.ac.kr,대구,,https://www.yumc.ac.kr/yumc/PSearch.do,
대구파티마병원,https://www.fatima.or.kr,대구,,https://www.fatima.or.kr/main/site/doctor/list.do?mp_idx=26|https://www.fatima.or.kr/main/site/part/list.do,
양산부산대학교병원,https://www.pnuyh.or.kr/pnuyh/index.do,경남,,https://www.pnuyh.or.kr/pnuyh/medical/department.do,1
학교법인성균관대학삼성창원병원,https://smc.skku.edu/smc/main/main.do?mId=1,경남,,,
경상국립대학교병원,https://www.gnuh.co.kr,경남,,,
